Date,Open,Close,Volume,gap,upDown
2011-10-05,4.806,5.074,6147500,5.57,1
2011-10-06,5.074,5.392,8845500,6.26,1
2011-10-07,5.396,5.398,6558000,0.03,0
2011-10-10,5.462,5.576,4617500,2.08,1
2011-10-11,5.502,5.522,2878500,0.36,0
2011-10-12,5.45,5.56,5617000,2.01,1
2011-10-13,5.526,5.588,5217500,1.12,1
2011-10-14,5.6,5.61,7002500,0.17,0
2011-10-17,5.572,5.484,3772500,-1.57,-1
2011-10-18,5.46,5.668,4998500,3.8,1
2011-10-19,5.604,5.514,3964500,-1.6,-1
2011-10-20,5.488,5.468,4998500,-0.36,0
2011-10-21,5.48,5.606,5713000,2.29,1
2011-10-24,5.574,5.71,4703000,2.43,1
2011-10-25,5.646,5.65,3272000,0.07,0
2011-10-26,5.638,5.596,2552500,-0.74,0
2011-10-27,5.668,5.752,4347000,1.48,1
2011-10-28,5.7,5.974,6320000,4.8,1
2011-10-31,5.9,5.874,5670000,-0.44,0
2011-11-01,5.678,5.776,3176000,1.72,1
2011-11-02,5.8,5.742,4376500,-0.99,0
2011-11-03,6.0,6.492,12548500,8.2,1
2011-11-04,6.292,6.462,15164500,2.7,1
2011-11-07,6.328,6.254,6331500,-1.16,-1
2011-11-08,6.274,6.368,5839500,1.49,1
2011-11-09,6.174,6.176,4768500,0.03,0
2011-11-10,6.188,6.266,3736500,1.26,1
2011-11-11,6.38,6.728,19341500,5.45,1
2011-11-14,6.6,6.644,6628500,0.66,0
2011-11-15,6.584,6.786,4455000,3.06,1
2011-11-16,6.696,6.988,9166000,4.36,1
2011-11-17,6.9,6.736,6746500,-2.37,-1
2011-11-18,6.728,6.52,4514000,-3.09,-1
2011-11-21,6.488,6.352,5158000,-2.09,-1
2011-11-22,6.352,6.414,3663000,0.97,0
2011-11-23,6.352,6.29,2259000,-0.97,0
2011-11-25,6.31,6.332,1198000,0.34,0
2011-11-28,6.4,6.512,3406000,1.74,1
2011-11-29,6.498,6.35,2955500,-2.27,-1
2011-11-30,6.5,6.548,3801500,0.73,0
2011-12-01,6.514,6.52,5151000,0.09,0
2011-12-02,6.566,6.66,4014000,1.43,1
2011-12-05,6.706,6.884,5800500,2.65,1
2011-12-06,6.84,6.974,4759000,1.95,1
2011-12-07,6.926,6.838,3371500,-1.27,-1
2011-12-08,6.168,6.178,16529000,0.16,0
2011-12-09,6.108,6.208,6197500,1.63,1
2011-12-12,6.088,6.082,3793500,-0.09,0
2011-12-13,6.114,5.89,4970500,-3.66,-1
2011-12-14,5.9,5.706,5819500,-3.28,-1
2011-12-15,5.734,5.724,3501500,-0.17,0
2011-12-16,5.758,5.6,5148500,-2.74,-1
2011-12-19,5.618,5.55,4935000,-1.21,-1
2011-12-20,5.61,5.58,4216500,-0.53,0
2011-12-21,5.582,5.514,8527500,-1.21,-1
2011-12-22,5.52,5.554,5047000,0.61,0
2011-12-23,5.6,5.58,2957000,-0.35,0
2011-12-27,5.532,5.714,3887500,3.28,1
2011-12-28,5.798,5.702,2876000,-1.65,-1
2011-12-29,5.718,5.746,2441000,0.48,0
2011-12-30,5.698,5.712,1699000,0.24,0
2012-01-03,5.788,5.616,4640500,-2.97,-1
2012-01-04,5.642,5.542,3150500,-1.77,-1
2012-01-05,5.552,5.424,5027500,-2.3,-1
2012-01-06,5.44,5.382,4931500,-1.06,-1
2012-01-09,5.4,5.45,4485000,0.92,0
2012-01-10,5.488,5.524,3359000,0.65,0
2012-01-11,5.524,5.646,3361500,2.2,1
2012-01-12,5.696,5.65,3646500,-0.8,0
2012-01-13,5.68,4.558,27502000,-19.75,-1
2012-01-17,5.324,5.32,23258000,-0.07,0
2012-01-18,5.338,5.362,6301000,0.44,0
2012-01-19,5.438,5.352,6231500,-1.58,-1
2012-01-20,5.38,5.32,3311500,-1.11,-1
2012-01-23,5.362,5.354,2973000,-0.14,0
2012-01-24,5.326,5.484,4290000,2.96,1
2012-01-25,5.454,5.594,3056000,2.56,1
2012-01-26,5.614,5.788,6355500,3.09,1
2012-01-27,5.7,5.866,3742000,2.91,1
2012-01-30,5.898,5.914,3645000,0.27,0
2012-01-31,5.98,5.814,4782000,-2.77,-1
2012-02-01,5.814,5.916,2616000,1.75,1
2012-02-02,5.944,6.05,4028500,1.78,1
2012-02-03,6.082,6.23,3822500,2.43,1
2012-02-06,6.22,6.36,3260500,2.25,1
2012-02-07,6.36,6.32,5108000,-0.62,0
2012-02-08,6.32,6.386,3118500,1.04,1
2012-02-09,6.4,6.516,6385500,1.81,1
2012-02-10,6.452,6.22,9371000,-3.59,-1
2012-02-13,6.31,6.298,5789500,-0.19,0
2012-02-14,6.348,6.634,9054000,4.5,1
2012-02-15,6.62,6.72,13809000,1.51,1
2012-02-16,6.7,6.836,11098500,2.02,1
2012-02-17,6.798,6.994,6883500,2.88,1
2012-02-21,6.974,6.9,5679000,-1.06,-1
2012-02-22,6.9,6.844,8273000,-0.81,0
2012-02-23,6.798,6.906,4102000,1.58,1
2012-02-24,6.846,6.75,4799500,-1.4,-1
2012-02-27,6.682,6.724,3030000,0.62,0
2012-02-28,6.728,6.762,3061000,0.5,0
2012-02-29,6.762,6.682,2678500,-1.18,-1
2012-03-01,6.702,6.882,3517500,2.68,1
2012-03-02,6.88,6.808,2750000,-1.04,-1
2012-03-05,6.87,6.754,2335000,-1.68,-1
2012-03-06,6.65,6.622,2869000,-0.42,0
2012-03-07,6.624,6.624,1824500,0.0,0
2012-03-08,6.622,6.614,3166500,-0.12,0
2012-03-09,6.64,6.948,7767000,4.63,1
2012-03-12,6.938,7.202,9816500,3.8,1
2012-03-13,7.302,7.218,5008000,-1.15,-1
2012-03-14,7.2,7.058,4257500,-1.97,-1
2012-03-15,7.056,7.0,2858000,-0.79,0
2012-03-16,6.98,7.064,3646500,1.2,1
2012-03-19,7.052,6.996,5078000,-0.79,0
2012-03-20,6.996,6.992,2835000,-0.05,0
2012-03-21,6.988,7.03,3036000,0.6,0
2012-03-22,6.994,6.88,2612000,-1.62,-1
2012-03-23,6.852,6.816,5853000,-0.52,0
2012-03-26,7.118,7.48,15702500,5.08,1
2012-03-27,7.432,7.588,12696000,2.09,1
2012-03-28,7.556,7.57,4775000,0.18,0
2012-03-29,7.638,7.466,3982000,-2.25,-1
2012-03-30,7.504,7.448,4432000,-0.74,0
2012-04-02,7.466,7.316,5143000,-2.0,-1
2012-04-03,7.34,7.602,5490500,3.56,1
2012-04-04,7.054,7.0,22409000,-0.76,0
2012-04-05,7.02,6.896,7547000,-1.76,-1
2012-04-09,6.82,6.63,8278500,-2.78,-1
2012-04-10,6.63,6.492,9238500,-2.08,-1
2012-04-11,6.648,6.618,5527500,-0.45,0
2012-04-12,6.754,6.688,5169500,-0.97,0
2012-04-13,6.788,6.718,3248000,-1.03,-1
2012-04-16,6.682,6.45,5498000,-3.47,-1
2012-04-17,6.486,6.448,5577500,-0.58,0
2012-04-18,6.418,6.532,4115500,1.77,1
2012-04-19,6.55,6.632,3874500,1.25,1
2012-04-20,6.628,6.632,4109000,0.06,0
2012-04-23,6.572,6.388,4454000,-2.79,-1
2012-04-24,6.364,6.364,3372500,0.0,0
2012-04-25,6.414,6.582,3561000,2.61,1
2012-04-26,6.592,6.698,2126500,1.6,1
2012-04-27,6.72,6.668,2955000,-0.77,0
2012-04-30,6.654,6.626,2069500,-0.42,0
2012-05-01,6.626,6.756,3295000,1.96,1
2012-05-02,6.7,6.788,2486500,1.31,1
2012-05-03,6.782,6.492,4206500,-4.27,-1
2012-05-04,6.464,6.366,6237500,-1.51,-1
2012-05-07,6.392,6.494,5790000,1.59,1
2012-05-08,6.5,6.038,15486000,-7.1,-1
2012-05-09,6.06,6.012,9739500,-0.79,0
2012-05-10,6.594,6.592,27781500,-0.03,0
2012-05-11,6.498,6.45,6106500,-0.73,0
2012-05-14,6.384,6.012,6904500,-5.82,-1
2012-05-15,6.052,5.886,7928500,-2.74,-1
2012-05-16,5.916,5.836,6285500,-1.35,-1
2012-05-17,5.86,5.714,5745000,-2.49,-1
2012-05-18,5.674,5.512,8082500,-2.85,-1
2012-05-21,5.516,5.754,7376000,4.31,1
2012-05-22,6.02,6.16,11831000,2.32,1
2012-05-23,6.112,6.204,6102000,1.5,1
2012-05-24,6.25,6.056,5378000,-3.1,-1
2012-05-25,6.032,5.962,3785000,-1.16,-1
2012-05-29,6.002,6.338,8250000,5.59,1
2012-05-30,6.216,6.082,6536000,-2.15,-1
2012-05-31,6.014,5.9,5593500,-1.89,-1
2012-06-01,5.706,5.63,4429000,-1.33,-1
2012-06-04,5.606,5.576,5154500,-0.53,0
2012-06-05,5.568,5.582,3154500,0.25,0
2012-06-06,5.64,5.844,4549500,3.61,1
2012-06-07,5.962,5.786,2460500,-2.95,-1
2012-06-08,5.772,6.016,4405500,4.22,1
2012-06-11,6.062,5.824,3180000,-3.92,-1
2012-06-12,5.846,5.932,2845000,1.47,1
2012-06-13,5.91,5.954,4220500,0.74,0
2012-06-14,6.036,5.878,4361000,-2.61,-1
2012-06-15,5.878,5.982,3234000,1.76,1
2012-06-18,5.988,6.368,6284000,6.34,1
2012-06-19,6.404,6.418,4555500,0.21,0
2012-06-20,6.7,6.756,17112000,0.83,0
2012-06-21,6.852,6.438,9459500,-6.04,-1
2012-06-22,6.52,6.758,15233000,3.65,1
2012-06-25,6.788,6.622,7492500,-2.44,-1
2012-06-26,6.41,6.322,13069500,-1.37,-1
2012-06-27,6.38,6.392,5236000,0.18,0
2012-06-28,6.38,6.282,4570500,-1.53,-1
2012-06-29,6.56,6.258,5629000,-4.6,-1
2012-07-02,6.27,6.08,6578000,-3.03,-1
2012-07-03,6.12,6.132,4735000,0.19,0
2012-07-05,6.162,6.246,6269000,1.36,1
2012-07-06,6.198,6.198,3922500,0.0,0
2012-07-09,6.188,6.298,4552500,1.77,1
2012-07-10,6.308,6.254,3792000,-0.85,0
2012-07-11,6.314,6.302,3193000,-0.19,0
2012-07-12,6.258,6.54,5628500,4.5,1
2012-07-13,6.594,6.85,6524000,3.88,1
2012-07-16,6.864,7.192,8720000,4.77,1
2012-07-17,7.0,6.67,12846500,-4.71,-1
